actuated_joint_pos	actuated_joint_vel	actuated_joint_torque	unactuated_joint_pos	unactuated_joint_vel	unactuated_joint_torque
0.293615	2.38547	8.44399	0.585829	4.8212	20
0.296009	2.39388	8.41389	0.59069	4.8612	20
0.29842	2.41065	8.3841	0.59555	4.86	20
0.300831	2.41062	8.35464	0.60045	4.9	20
0.303258	2.42721	8.29652	0.605361	4.9106	20
0.305685	2.42721	8.29662	0.610282	4.9212	20
0.30812	2.43545	8.23991	0.615243	4.9612	20
0.310564	2.44369	8.23991	0.620203	4.96	20
0.313024	2.46012	8.21203	0.625203	5	20
0.315484	2.46009	8.18434	0.630214	5.0106	20
0.317961	2.47635	8.1297	0.635235	5.0212	20
0.320437	2.47635	8.12979	0.640296	5.0612	20
0.322921	2.48442	8.07641	0.645356	5.06	20
0.325414	2.4925	8.07641	0.650456	5.1	20
0.327923	2.5086	8.05015	0.655567	5.1106	20
0.330431	2.50857	8.02407	0.660688	5.1212	20
0.332956	2.52452	7.97257	0.665849	5.1612	20
0.33548	2.52452	7.97265	0.671009	5.16	20
0.338013	2.53244	7.9223	0.676209	5.2	20
0.340553	2.54036	7.9223	0.68142	5.2106	20
0.343109	2.55616	7.89751	0.686641	5.2212	20
0.345665	2.55614	7.87289	0.691902	5.2612	20
0.348237	2.57178	7.82424	0.697162	5.26	20
0.350809	2.57178	7.82431	0.702462	5.3	20
0.353388	2.57956	7.7767	0.707773	5.3106	20
0.355976	2.58734	7.7767	0.713094	5.3212	20
0.358579	2.60284	7.75326	0.718455	5.3612	20
0.361181	2.60282	7.72996	0.723815	5.36	20
0.3638	2.61819	7.6839	0.729215	5.4	20
0.366418	2.61819	7.68397	0.734626	5.4106	20
0.369044	2.62583	7.63887	0.740047	5.4212	20
0.371677	2.63347	7.63887	0.745508	5.4612	20
0.374326	2.6487	7.61665	0.750968	5.46	20
0.376974	2.64868	7.59455	0.756468	5.5	20
0.379638	2.66378	7.55088	0.761979	5.5106	20
0.382302	2.66378	7.55094	0.7675	5.5212	20
0.384973	2.67129	7.50813	0.773061	5.5612	20
0.387652	2.6788	7.50813	0.778621	5.56	20
0.390346	2.69377	7.48703	0.784221	5.6	20
0.39304	2.69375	7.46604	0.789832	5.6106	20
0.395748	2.7086	7.42454	0.795453	5.6212	20
0.398457	2.7086	7.4246	0.801114	5.6612	20
0.401173	2.71598	7.3839	0.806774	5.66	20
0.403896	2.72337	7.3839	0.812474	5.7	20
0.406634	2.73809	7.36382	0.818184	5.7106	20
0.409372	2.73807	7.34386	0.823906	5.7212	20
0.412125	2.75268	7.30435	0.829667	5.7612	20
0.414878	2.75268	7.30441	0.835427	5.76	20
0.417638	2.75995	7.26564	0.841227	5.8	20
0.420405	2.76721	7.26564	0.847037	5.8106	20
0.423187	2.78171	7.24652	0.852859	5.8212	20
0.425968	2.78169	7.22749	0.85872	5.8612	20
0.428764	2.79607	7.18983	0.86458	5.86	20
0.43156	2.79607	7.18988	0.87048	5.9	20
0.434364	2.80322	7.15291	0.87639	5.9106	20
0.437174	2.81037	7.15291	0.882311	5.9212	20
0.439999	2.82464	7.13465	0.888273	5.9612	20
0.442823	2.82462	7.11649	0.894233	5.96	20
0.445662	2.83878	7.08054	0.900233	6	20
0.448501	2.83878	7.08059	0.906243	6.0106	20
0.451347	2.84583	7.04527	0.912264	6.0212	20
0.454199	2.85288	7.04527	0.918326	6.0612	20
0.457066	2.86693	7.02783	0.924386	6.06	20
0.459933	2.86691	7.01047	0.930486	6.1	20
0.462814	2.88087	6.9761	0.936596	6.1106	20
0.465695	2.88087	6.97614	0.942717	6.1212	20
0.468583	2.88781	6.94236	0.948878	6.1612	20
0.471478	2.89475	6.94236	0.955038	6.16	20
0.474386	2.9086	6.92567	0.961238	6.2	20
0.477295	2.90859	6.90906	0.967449	6.2106	20
0.480217	2.92234	6.87616	0.97367	6.2212	20
0.483139	2.92234	6.87619	0.979931	6.2612	20
0.486069	2.92918	6.84384	0.986191	6.26	20
0.489005	2.93603	6.84384	0.992491	6.3	20
0.491954	2.94968	6.82785	0.998802	6.3106	20
0.494904	2.94967	6.81193	1.00512	6.3212	20
0.497867	2.96323	6.78039	1.01148	6.3612	20
0.50083	2.96323	6.78043	1.01784	6.36	20
0.5038	2.96998	6.7494	1.02424	6.4	20
0.506777	2.97672	6.7494	1.03065	6.4106	20
0.509767	2.99019	6.73406	1.03708	6.4212	20
0.512757	2.99018	6.71879	1.04354	6.4612	20
0.515761	3.00355	6.68853	1.05	6.46	20
0.518765	3.00355	6.68857	1.0565	6.5	20
0.521775	3.01021	6.65878	1.06301	6.5106	20
0.524792	3.01687	6.65878	1.06953	6.5212	20
0.527822	3.03016	6.64405	1.07609	6.5612	20
0.530852	3.03015	6.62938	1.08265	6.56	20
0.533895	3.04335	6.60031	1.08925	6.6	20
0.536939	3.04335	6.60034	1.09586	6.6106	20
0.539989	3.04992	6.57171	1.10248	6.6212	20
0.543045	3.05649	6.57171	1.10914	6.6612	20
0.546115	3.0696	6.55755	1.1158	6.66	20
0.549184	3.06959	6.54345	1.1225	6.7	20
0.552267	3.08262	6.5155	1.12921	6.7106	20
0.555349	3.08262	6.51553	1.13593	6.7212	20
0.558439	3.08911	6.48798	1.1427	6.7612	20
0.561534	3.0956	6.48798	1.14946	6.76	20
0.564643	3.10855	6.47436	1.15626	6.8	20
0.567751	3.10853	6.46079	1.16307	6.8106	20
0.570873	3.1214	6.43388	1.16989	6.8212	20
0.573994	3.1214	6.4339	1.17675	6.8612	20
0.577122	3.12781	6.40738	1.18361	6.86	20
0.580256	3.13422	6.40738	1.19051	6.9	20
0.583403	3.147	6.39425	1.19742	6.9106	20
0.58655	3.14699	6.38118	1.20434	6.9212	20
0.58971	3.1597	6.35525	1.2113	6.9612	20
0.592869	3.1597	6.35528	1.21826	6.96	20
0.596035	3.16603	6.32971	1.22526	7	20
0.599208	3.17236	6.32971	1.23227	7.0106	20
0.602393	3.18499	6.31706	1.23929	7.0212	20
0.605578	3.18498	6.30445	1.24635	7.0612	20
0.608775	3.19754	6.27944	1.25341	7.06	20
0.611973	3.19754	6.27947	1.26051	7.1	20
0.615177	3.2038	6.25481	1.26762	7.1106	20
0.618387	3.21005	6.25481	1.27475	7.1212	20
0.621609	3.22254	6.24259	1.28191	7.1612	20
0.624832	3.22252	6.23043	1.28907	7.16	20
0.628067	3.23494	6.20629	1.29627	7.2	20
0.631302	3.23494	6.20632	1.30348	7.2106	20
0.634543	3.24112	6.1825	1.3107	7.2212	20
0.63779	3.2473	6.1825	1.31796	7.2612	20
0.64105	3.25964	6.17071	1.32522	7.26	20
0.644309	3.25963	6.15896	1.33252	7.3	20
0.647581	3.2719	6.13564	1.33983	7.3106	20
0.650853	3.2719	6.13566	1.34715	7.3212	20
0.654131	3.27802	6.11265	1.35451	7.3612	20
0.657415	3.28413	6.11265	1.36187	7.36	20
0.660712	3.29633	6.10125	1.36927	7.4	20
0.664008	3.29632	6.0899	1.37668	7.4106	20
0.667316	3.30845	6.06735	1.3841	7.4212	20
0.670625	3.30845	6.06737	1.39157	7.4612	20
0.673939	3.3145	6.04512	1.39903	7.46	20
0.67726	3.32054	6.04512	1.40653	7.5	20
0.680592	3.33261	6.0341	1.41404	7.5106	20
0.683925	3.3326	6.02311	1.42156	7.5212	20
0.68727	3.3446	6.0013	1.42912	7.5612	20
0.690614	3.3446	6.00132	1.43668	7.56	20
0.693965	3.35058	5.97978	1.44428	7.6	20
0.697321	3.35656	5.97978	1.45189	7.6106	20
0.70069	3.3685	5.96911	1.45951	7.6212	20
0.704058	3.36849	5.95848	1.46717	7.6612	20
0.707439	3.38037	5.93736	1.47483	7.66	20
0.710819	3.38037	5.93738	1.48253	7.7	20
0.714205	3.38628	5.91652	1.49024	7.7106	20
0.717598	3.3922	5.91652	1.49796	7.7212	20
0.721002	3.40401	5.90618	1.50572	7.7612	20
0.724406	3.404	5.89588	1.51348	7.76	20
0.727821	3.41575	5.87542	1.52128	7.8	20
0.731237	3.41575	5.87544	1.52909	7.8106	20
0.734659	3.42161	5.85523	1.53692	7.8212	20
0.738086	3.42746	5.85523	1.54478	7.8612	20
0.741525	3.43915	5.84521	1.55264	7.86	20
0.744964	3.43914	5.83522	1.56054	7.9	20
0.748415	3.45077	5.81539	1.56845	7.9106	20
0.751866	3.45077	5.8154	1.57637	7.9212	20
0.755323	3.45657	5.7958	1.58433	7.9612	20
0.758785	3.46236	5.7958	1.59229	7.96	20
0.762259	3.47394	5.78608	1.60029	8	20
0.765733	3.47393	5.7764	1.6083	8.0106	20
0.769218	3.48544	5.75716	1.61632	8.0212	20
0.772704	3.48544	5.75717	1.62438	8.0612	20
0.776195	3.49118	5.73815	1.63244	8.06	20
0.779692	3.49692	5.73815	1.64054	8.1	20
0.7832	3.50838	5.72872	1.64865	8.1106	20
0.786708	3.50837	5.71932	1.65677	8.1212	20
0.790228	3.51977	5.70064	1.66494	8.1612	20
0.793748	3.51977	5.70066	1.6731	8.16	20
0.797273	3.52545	5.68219	1.6813	8.2	20
0.800805	3.53113	5.68219	1.68951	8.2106	20
0.804347	3.54248	5.67304	1.69773	8.2212	20
0.807889	3.54247	5.66391	1.70599	8.2612	20
0.811443	3.55376	5.64577	1.71425	8.26	20
0.814997	3.55376	5.64578	1.72255	8.3	20
0.818556	3.55939	5.62784	1.73086	8.3106	20
0.822121	3.56502	5.62784	1.73918	8.3212	20
0.825698	3.57625	5.61894	1.74754	8.3612	20
0.829274	3.57624	5.61007	1.7559	8.36	20
0.832861	3.58743	5.59244	1.7643	8.4	20
0.836449	3.58743	5.59246	1.77271	8.4106	20
0.840042	3.593	5.57502	1.78113	8.4212	20
0.84364	3.59858	5.57502	1.78959	8.4612	20
0.84725	3.60971	5.56637	1.79805	8.46	20
0.85086	3.6097	5.55775	1.80655	8.5	20
0.854481	3.62079	5.54061	1.81506	8.5106	20
0.858101	3.62079	5.54062	1.82359	8.5212	20
0.861728	3.62631	5.52366	1.83215	8.5612	20
0.865359	3.63183	5.52366	1.84071	8.56	20
0.869002	3.64286	5.51525	1.84931	8.6	20
0.872645	3.64285	5.50686	1.85792	8.6106	20
0.876299	3.65383	5.49019	1.86654	8.6212	20
0.879953	3.65383	5.4902	1.8752	8.6612	20
0.883612	3.65931	5.4737	1.88386	8.66	20
0.887277	3.66478	5.4737	1.89256	8.7	20
0.890953	3.67571	5.46551	1.90127	8.7106	20
0.894628	3.67571	5.45735	1.90999	8.7212	20
0.898315	3.68659	5.44112	1.91875	8.7612	20
0.902001	3.68659	5.44113	1.92751	8.76	20
0.905693	3.69201	5.42507	1.93631	8.8	20
0.909391	3.69744	5.42507	1.94512	8.8106	20
0.913099	3.70827	5.4171	1.95394	8.8212	20
0.916807	3.70826	5.40915	1.9628	8.8612	20
0.920526	3.71905	5.39335	1.97166	8.86	20
0.924246	3.71905	5.39336	1.98056	8.9	20
0.92797	3.72443	5.37772	1.98947	8.9106	20
0.9317	3.72981	5.37772	1.9984	8.9212	20
0.93544	3.74055	5.36995	2.00736	8.9612	20
0.939181	3.74054	5.36221	2.01632	8.96	20
0.942932	3.75123	5.34681	2.02532	9	20
0.946683	3.75123	5.34682	2.03433	9.0106	20
0.95044	3.75656	5.33158	2.04335	9.0212	20
0.954202	3.76189	5.33158	2.05241	9.0612	20
0.957974	3.77254	5.32402	2.06147	9.06	20
0.961747	3.77254	5.31647	2.07057	9.1	20
0.96553	3.78314	5.30146	2.07968	9.1106	20
0.969313	3.78314	5.30147	2.0888	9.1212	20
0.973101	3.78842	5.28662	2.09796	9.1612	20
0.976895	3.79371	5.28662	2.10712	9.16	20
0.980699	3.80427	5.27924	2.11632	9.2	20
0.984504	3.80426	5.27188	2.12553	9.2106	20
0.988318	3.81478	5.25725	2.13475	9.2212	20
0.992133	3.81478	5.25726	2.14402	9.2612	20
0.995953	3.82002	5.24277	2.15328	9.26	20
0.999779	3.82526	5.24277	2.16258	9.3	20
1.00361	3.83573	5.23557	2.17189	9.3106	20
1.00745	3.83573	5.2284	2.18121	9.3212	20
1.0113	3.84616	5.21413	2.19057	9.3612	20
1.01514	3.84616	5.21414	2.19993	9.36	20
1.01899	3.85136	5.2	2.20933	9.4	20
1.02285	3.85656	5.2	2.21874	9.4106	20
1.02672	3.86694	5.19298	2.22816	9.4212	20
1.03058	3.86693	5.18598	2.23762	9.4612	20
1.03446	3.87728	5.17205	2.24708	9.46	20
1.03834	3.87728	5.17206	2.25658	9.5	20
1.04222	3.88244	5.15826	2.26609	9.5106	20
1.04611	3.88759	5.15826	2.27561	9.5212	20
1.05001	3.8979	5.1514	2.28517	9.5612	20
1.0539	3.89789	5.14457	2.29473	9.56	20
1.05781	3.90815	5.13097	2.30433	9.6	20
1.06172	3.90815	5.13098	2.31394	9.6106	20
1.06563	3.91327	5.11751	2.32356	9.6212	20
1.06955	3.91839	5.11751	2.33323	9.6612	20
1.07348	3.92861	5.11082	2.34289	9.66	20
1.07741	3.9286	5.10414	2.35259	9.7	20
1.08135	3.93878	5.09086	2.3623	9.7106	20
1.08529	3.93878	5.09087	2.37202	9.7212	20
1.08923	3.94386	5.07771	2.38178	9.7612	20
1.09318	3.94894	5.07771	2.39154	9.76	20
1.09714	3.95908	5.07117	2.40134	9.8	20
1.1011	3.95908	5.06465	2.41115	9.8106	20
1.10507	3.96918	5.05168	2.42097	9.8212	20
1.10904	3.96918	5.05168	2.43083	9.8612	20
1.11301	3.97422	5.03883	2.44069	9.86	20
1.11699	3.97926	5.03883	2.45059	9.9	20
1.12098	3.98932	5.03244	2.4605	9.9106	20
1.12497	3.98931	5.02606	2.47042	9.9212	20
